Total Bwd packets,Bwd Packet Length Min,Fwd Header Length,Bwd Header Length,Bwd Packets/s,SYN Flag Count,PSH Flag Count,ACK Flag Count,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Seg Size Min,Label
0.00014644719114287306,0.0,0.0,0.00012983236045617614,0.5755438301441587,0.0,0.0,8.996527340446398e-05,0.02546473524637859,0.015976195925841152,0.0,0
0.00014644719114287306,0.0,0.0,0.00012983236045617614,0.3238318004085356,0.0,0.0,8.996527340446398e-05,0.026919425473922766,0.015976195925841152,0.0,0
0.00014644719114287306,0.0,0.0,0.00012983236045617614,0.3057993961521518,0.0,0.0,8.996527340446398e-05,0.027868802254004225,0.015976195925841152,0.0,0
0.00014644719114287306,0.0,0.0,0.00012983236045617614,0.367129655896102,0.0,0.0,8.996527340446398e-05,0.027240988576853583,0.015976195925841152,0.0,0
0.00043934157342861914,0.0,0.0009770686242024135,0.00046739649764223414,0.0009383822546132169,1.0,0.0004679457182966776,0.0005397916404267838,0.22005635010565644,0.013931486991683834,0.0,0
0.05535703825200602,0.0,0.07816548993619309,0.04907663225243458,0.00042582505576116355,0.0,0.07182966775854001,0.06711409395973013,0.3202309129329618,0.1270008392462043,0.0,0
0.006004334836857795,0.0,0.006584592902233657,0.005323126778703222,5.970129008130756e-05,0.0,0.007955077211043519,0.006477499685121407,0.03691850672220011,0.029266803997863737,0.0,0
0.004393415734286192,0.0,0.006159780456928259,0.0038949708136852843,3.7254283223271204e-05,0.0,0.004679457182966776,0.005307951130863375,0.03691850672220011,0.04531929503318837,0.0,0
0.0013180247202858575,0.0,0.0016992497812215888,0.0011684912441055854,1.378939881391607e-05,0.0,0.0014038371548900329,0.0015294096478758877,0.22045447585214223,0.08218509193560693,0.0,0
0.002636049440571715,0.0,0.0036109057850958765,0.0023369824882111707,2.34328786334516e-05,0.0,0.003743565746373421,0.0031487845691562395,0.02546473524637859,0.019043259327077136,0.0,0
