PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Predicted_Label
-1.650791371853515,-0.11120527620133072,0.5376110537621913,0.012749969822405541,-0.1251099093349495,0.00656273605846847,0.019022893649844087,-0.04203544193119507,-0.0061605681028498475,-0.004178573725013786,0
-1.594832067938903,-0.029090938474473572,-0.5184339861619881,-0.10465525913155022,-0.22833163289372804,0.028010635763598985,-0.13889182876080697,0.8876138838023465,-0.03150231054352828,-0.006321060951768443,0
-1.5759078446456702,-0.036615399330656766,-0.47063213638580687,-0.08370692138710042,-0.15344662811602647,-0.0011737589074067654,-0.001291484382931129,-0.09716278892310784,0.009091202206987805,0.0017144431331299348,0
-1.5706878237457755,-0.01189961505578938,-0.4643951653235484,-0.08814662418983317,-0.1351012904093105,-0.0005592334962476706,-0.00118645327184383,-0.09538268471086159,0.009003826902996236,0.003062853030557615,0
-1.6509010997095237,-0.11183797214110312,0.5376397503211032,0.011867119796034786,-0.12490408944396468,0.006526002229575969,0.019039070018499034,-0.04217801204769092,-0.006133089183226622,-0.0043279256112311315,0
-1.5745659727991632,-0.03069824117992035,-0.4677878822827792,-0.08601742504478214,-0.14773639201918648,-0.007863983492281654,-0.0005020346005110242,-0.09628965159495988,0.009237392622762516,0.0015967252534639458,0
-1.6499376555794911,-0.10654354163413694,0.5375453700895982,0.01837633455060393,-0.1259535830797872,0.00745563764179217,0.019167396168457775,-0.042075054158571386,-0.0045455754526993524,-0.0024053500165675,0
-1.5020516472969707,0.32700031028386045,-0.383674326130565,0.11653105414953602,-0.04114022648592595,-0.24919609935229853,0.033483714865569586,-0.0653179018855014,0.04082843957530753,0.011511394877933765,0
-1.64905164674597,-0.10148881429838653,0.5373299921659881,0.02536907254353636,-0.12753259765145208,0.007745443498867631,0.01914598309650738,-0.041400063094722654,-0.004606655132521808,-0.003781638644546242,0
-1.5741730875212576,-0.028656647353274837,-0.4673167879687639,-0.08683129277693412,-0.14613066318313842,-0.007734949994533851,-0.0008673871448047667,-0.0940509286306814,0.00845781846310757,0.002016293095512882,0
-1.5830255034620937,-0.0263004590189721,-0.4881247878523392,-0.09672738038939409,-0.1805145727054047,-0.0027367664543694087,-0.06322993648305165,0.3597006297857178,-0.009649356726572442,-0.002023400261413879,0
-1.6501480373051687,-0.10787594026497542,0.5377444388591032,0.014042015874364398,-0.12404715753360863,0.008899174383740752,0.018789400562912166,-0.042096314087738625,-0.0063590775092372525,-0.0036642086950426037,0
-1.6508599323097195,-0.11160571403097837,0.5376313731240635,0.012188629112297206,-0.12497376628217695,0.006537815877928465,0.01903404690866181,-0.042182139637418806,-0.006206422802931909,-0.004295868225064523,0
-1.570803807289116,-0.012529540481744707,-0.4643845588994204,-0.08912637652065726,-0.13486315680729474,-0.0005937084855394692,-0.0013053043299488221,-0.09548326517706256,0.007736283896320407,0.001683060344393758,0
-1.649452915437033,-0.10429222320651967,0.5379025969398892,0.015123395471453168,-0.12272025951336214,0.011590037509823105,0.018492138489628863,-0.042174401488234474,-0.006894449917734261,-0.0038862511062016064,0
-1.574126958254164,-0.028875806676824604,-0.46647133080573167,-0.08674464895985654,-0.145776737847212,-0.012576577688914872,2.7096317168222905e-05,-0.09586912133947174,0.009248436978440853,0.0016266926753573116,0
-1.5685473091117326,0.00017371433122252876,-0.46481683100223586,-0.07223215993514427,-0.13827607789330743,0.0004408975132623796,-0.001649725665418865,-0.09565455423382432,0.003301887507116066,0.0007471295955993976,0
-1.656025787059281,-0.1120266195220311,0.5254198268674279,0.0070025852067441725,-0.1449399490340724,0.0127185815212829,-0.015024489015781234,0.20237685145600642,-0.016040141088186542,-0.006424724447237624,0
